医療機関名,正規化住所,郵便番号,電話番号,オンライン予約用ページアドレス,相談センター等からの紹介,自院患者,濃厚接触者,小児,妊婦,区市町村,行政コード,大字,それ以降の住所,ビル名・階数・部屋番号,PCR,抗原定量,抗原定性,鼻咽頭,鼻腔,唾液,その他,月（午前）,月（午後）,火（午前）,火（午後）,水（午前）,水（午後）,木（午前）,木（午後）,金（午前）,金（午後）,土（午前）,土（午後）,日（午前）,日（午後）,対応できる外国語,診療検査日時が祝日の場合,それ以降の住所,,
医療法人財団十全会 矢作クリニック,,125-0051,03-3607-2516,,,1,,,,葛飾区,13122,新宿,2002/2/14,,,,1,1,1,,,12:00~14:00,17:00~18:00,12:00~14:00,17:00~18:00,,,12:00~14:00,17:00~18:00,12:00~14:00,17:00~18:00,,12:00~13:00,,,,,新宿2-2-14,35.75972,139.86397
医療保人社団 絢雄会 佐藤寿一クリニック,,194-0013,042-710-2251,,1,1,1,1,1,町田市,13209,原町田,1-7-17ガレリア町田ビル2階,,1,,1,1,1,1,,13:00~15:00,19:00~20:00,13:00~15:00,19:00~20:00,13:00~15:00,19:00~20:00,13:00~15:00,19:00~20:00,13:00~15:00,19:00~20:00,8:00~9:00,,,,英語,,原町田1-7-17ガレリア町田ビル2階,35.54028,139.44749
医療法人社団東京白報会 すぎなみ在宅診療所,,166-0002,03-5327-5584,,,1,,,,杉並区,13115,高円寺北,2-20-1 ,グリュッケンビル7階,,,,,,,,9:00~12:00,13:00~17:00,9:00~12:00,13:00~17:00,9:00~12:00,13:00~17:00,9:00~12:00,13:00~17:00,9:00~12:00,13:00~17:00,,,,,,,高円寺北2-20-1 グリュッケンビル7階,35.70707,139.65045
心越クリニック,,141-0022,03-3447-1155,,1,1,1,1,1,品川区,13109,東五反田,2-21-11 ,221号室,1,,,1,,,,9:00~12:00,13:00~18:00,9:00~12:00,13:00~18:00,9:00~12:00,13:00~18:00,9:00~12:00,13:00~18:00,9:00~12:00,13:00~18:00,9:00~12:00,13:00~18:00,,,,,東五反田2-21-11 221号室,35.62416,139.73039
Gクリニック,,104-0061,web予約,"https://web.booking.clius.jp/reserve/gclinic.reserve",1,1,,,,中央区,13102,銀座,5-3-13GINZA ,SS85ビル12階,1,,1,1,1,,,,14:00~18:00,,14:00~18:00,,14:00~18:00,,,,14:00~18:00,,,,,中国語,,銀座5-3-13GINZA SS85ビル12階,35.67195,139.76291
駒沢ハートクリニック,,152-0023,03-5726-3322,,,1,,,,目黒区,13110,八雲,2005/9/21,,1,,,,,1,,12:00~12:30,16:00~16:30,12:00~12:30,16:00~16:30,,,12:00~12:30,16:00~16:30,12:00~12:30,16:00~16:30,11:00~11:30,,,,,,八雲5-9-21,35.62399,139.67122
東京慈恵会医科大学附属病院,,105-8471,03-3433-1111,,,1,,,,港区,13103,西新橋,3-19-18,,1,,1,1,,,,9:00~12:00,12:00~17:00,9:00~12:00,12:00~17:00,9:00~12:00,12:00~17:00,9:00~12:00,12:00~17:00,9:00~12:00,12:00~17:00,9:00~12:00,12:00~17:00,,,,,西新橋3-19-18,35.66368,139.75143
医療法人社団 朋陽会 坂谷クリニック,,158-0097,03-5717-2255,,,1,,,,世田谷区,13112,用賀,4-10-3ヒルズ2 ・,1階,,,,,,,,,14:00~15:00,,14:00~15:00,,14:00~15:00,,14:00~15:00,,14:00~15:00,,,,,無し,,用賀4-10-3ヒルズ2 ・1階,35.62678,139.63286
医療法人社団凜生会 目白整形外科内科,,171-0031,03-5960-7800,,,1,,,,豊島区,13116,目白,2-38-2,,1,,1,,1,1,,12:00~13:00,16:30~17:30,12:00~13:00,16:30~17:30,12:00~13:00,16:30~17:30,,,12:00~13:00,16:30~17:30,,,,,,,目白2-38-2,35.72209,139.7075
医療法人社団千年会 やはたクリニック,,165-0034,03-5364-5361,,,1,,,,中野区,13114,大和町,１-４４-４,,,,1,1,1,,,11:00~12:00,17:00~18:00,11:00~12:00,17:00~18:00,,,11:00~12:00,17:00~18:00,11:00~12:00,17:00~18:00,11:00~12:00,12:00~13:00,,,なし,,大和町１-４４-４,35.71332,139.65103
医療法人社団東京白報会 かめいど在宅診療所,,136-0071,03-5875-5115,,,1,,,,江東区,13108,亀戸,2-31-10 ,コクブ亀戸ビル5階,,,,,,,,9:00~12:00,13:00~17:00,9:00~12:00,13:00~17:00,9:00~12:00,13:00~17:00,9:00~12:00,13:00~17:00,9:00~12:00,13:00~17:00,,,,,,,亀戸2-31-10 コクブ亀戸ビル5階,35.6991,139.82368
医療法人社団東京白報会 あだち在宅診療所,,120-0005,03-6802-5650,,,1,,,,足立区,13121,綾瀬,4-7-10柏芳ビル弐号館4階,,,,,,,,,9:00~12:00,13:00~17:00,9:00~12:00,13:00~17:00,9:00~12:00,13:00~17:00,9:00~12:00,13:00~17:00,9:00~12:00,13:00~17:00,,,,,,,綾瀬4-7-10柏芳ビル弐号館4階,35.76254,139.82375
医療法人社団東京白報会 つばさクリニック,,124-0022,03-6662-8206,,,1,,,,葛飾区,13122,奥戸,4-16-17,,,,,,,,,9:00~12:00,13:00~17:00,9:00~12:00,13:00~17:00,9:00~12:00,13:00~17:00,9:00~12:00,13:00~17:00,9:00~12:00,13:00~17:00,,,,,,,奥戸4-16-17,35.72965,139.8665
松倉メディカルクリニック,,180-0004,0422-20-0055,,,1,,,,武蔵野市,13203,吉祥寺本町,2-2-14-8階,,1,,1,1,,1,,12:00~13:00,17:00~18:00,12:00~13:00,17:00~18:00,,,12:00~13:00,17:00~18:00,12:00~13:00,17:00~18:00,12:00~13:00,,,,,,吉祥寺本町2-2-14-8階,35.70406,139.57741
グリーンコート内科クリニック,,113-0021,03-5977-3820,,,1,,,,文京区,13105,本駒込,2-28-10 ,文京グリーンコート イーストウィング３F,,,,,,,,9:30~13:00,14:30~18:00,9:30~13:00,14:30~18:00,9:30~13:00,14:30~18:00,9:30~13:00,,9:30~13:00,14:30~18:00,9:30~13:00,,,,英語,,本駒込2-28-10 文京グリーンコート イーストウィング３F,35.72952,139.74666
石川医院,,130-0004,03-3622-6694,,,1,,1,,墨田区,13107,本所,３-２０-３,,,,1,1,,,,12:00~13:00,,12:00~13:00,,,,12:00~13:00,,12:00~13:00,,,,,,英語,,本所３-２０-３,35.70422,139.80377
医療法人社団諸星会吉祥寺もろほし耳鼻咽喉科,,180-0004,0422-20-4133,,,1,,,,武蔵野市,13203,吉祥寺本町一丁目,７番４号丸二清水ビル３階,,1,,1,1,1,1,,11:00~12:00,13:00~14:00,11:00~12:00,13:00~14:00,11:00~12:00,13:00~14:00,11:00~12:00,13:00~14:00,11:00~12:00,13:00~14:00,8:00~9:00,14:00~15:00,8:00~9:00,14:00~15:00,,,吉祥寺本町一丁目７番４号丸二清水ビル３階,35.70409,139.57822
目白よしみクリニック,,161-0033,03-5988-7667,,,1,1,,,新宿区,13104,下落合,3-12-23豊ビル1F,,1,,1,,1,1,,12:00~12:30,17:30~18:00,12:00~12:30,17:30~18:00,12:00~12:30,17:30~18:00,,,12:00~12:30,17:30~18:00,12:00~12:30,,,,,,下落合3-12-23豊ビル1F,35.72157,139.6989
医療法人社団川満惠光会 川満外科,,178-0063,03-3922-2912,,,1,,,,練馬区,13120,東大泉,6-34-46,,1,,,,,1,,,,,13:00~14:00,,13:00~14:00,,13:00~14:00,,,,,,,,,東大泉6-34-46,35.74712,139.58467
医療法人社団北條会 三鷹もろほし耳鼻咽喉科,,180-0006,0422-37-3341,,,1,,,,武蔵野市,13203,中町一丁目,１２番１０号武蔵野タワーズスカイゲートタワータワーズモール内５階・Ｃ号,,1,,1,1,1,1,,11:00~12:00,13:00~14:00,11:00~12:00,13:00~14:00,11:00~12:00,13:00~14:00,11:00~12:00,13:00~14:00,11:00~12:00,13:00~14:00,8:00~9:00,14:00~15:00,8:00~9:00,14:00~15:00,,,中町一丁目１２番１０号武蔵野タワーズスカイゲートタワータワーズモール内５階・Ｃ号,35.70455,139.56091
医療法人社団 北條会 もろほしクリニック,,184-0003,042-385-3341,,,1,,,,小金井市,13210,緑町,1-6-53 ,うさぎビル１階,1,,1,1,1,1,,11:00~12:00,13:00~14:00,11:00~12:00,13:00~14:00,11:00~12:00,13:00~14:00,11:00~12:00,13:00~14:00,11:00~12:00,13:00~14:00,8:00~9:00,14:00~15:00,8:00~9:00,14:00~15:00,,,緑町1-6-53 うさぎビル１階,35.7037,139.52017
巣鴨医院,,170-0002,03-5567-1955,,,1,,,,豊島区,13116,巣鴨,４-２２-４ ,パークノヴァ巣鴨１F,1,,1,1,1,1,,,,,15:00~17:00,,,,15:00~17:00,,,,15:00~17:00,,,,,巣鴨４-２２-４ パークノヴァ巣鴨１F,35.73672,139.73434
医療法人社団東京白報会 せたがや在宅診療所,,158-0094,03-6447-9089,,,1,,,,世田谷区,13112,玉川,3-13-8 ,七のはなビル2階,,,,,,,,9:00~13:00,13:00~17:00,9:00~13:00,13:00~17:00,9:00~13:00,13:00~17:00,9:00~13:00,13:00~17:00,9:00~13:00,13:00~17:00,,,,,,,玉川3-13-8 七のはなビル2階,35.61329,139.62511
医療法人社団方伎会石川クリニック,,191-0031,042-593-8113,,,1,,,,日野市,13212,高幡,6月3日,,,,,,,,,9:00~12:00,14:00~17:00,9:00~12:00,,9:00~12:00,,,,9:00~12:00,14:00~17:00,9:00~12:00,14:00~17:00,,,,,高幡6-3,35.66151,139.4118
医療法人社団 幸芳会 藤間産婦人科医院,,164-0013,03-3372-5700,必ず電話で予約の上、診療は午前中の診療終了後になります。,,1,,1,2,中野区,13114,弥生町,1-17-1,,1,,,,,1,,,12:00~14:00,,12:00~14:00,,,,12:00~14:00,,12:00~14:00,,,,,,,弥生町1-17-1,35.68975,139.67984
医療法人社団大地の会 本郷ファミリークリニック,,113-0033,03-3868-7501,,,1,,,,文京区,13105,本郷,1-33-8,,1,,1,1,,1,,9:00~12:00,13:00~18:00,9:00~12:00,13:00~18:00,9:00~12:00,13:00~18:00,9:00~12:00,3:00~18:00,9:00~12:00,13:00~18:00,,,,,,,本郷1-33-8,35.70633,139.75481
東京都済生会向島病院,,131-0041,03-3610-3651,,,1,1,,,墨田区,13107,八広,2001/5/10,,1,,1,1,,,,11:00~12:00,,11:00~12:00,,11:00~12:00,,11:00~12:00,,11:00~12:00,,,,,,,1,八広1-5-10,35.71557,139.82683
医療法人財団 放友クリニック,,150-0042,03-3464-5078,,,1,,,,渋谷区,13113,宇田川町,7月13日,第二共同ビル7階,,,,,,,,12:30~12:50,16:30~16:50,12:30~12:50,16:30~16:50,12:30~12:50,16:30~16:50,12:30~12:50,16:30~16:50,12:30~12:50,16:30~16:50,,,,,,,宇田川町7-13 第二共同ビル7階,35.66351,139.69588
あさくさばし耳鼻咽喉科,,111-0053,338638733,http://asakusabashi-ent.com/,,1,1,1,,台東区,13106,浅草橋,4-1-2-3階 ,あさくさばし耳鼻咽喉科,,,1,1,,,,9:30~12:30,12:30~15:00,9:30~12:30,,9:30~12:30,12:30~15:00,9:30~12:30,12:30~15:00,9:30~12:30,,9:30~12:30,,,,英語可,1,浅草橋4-1-2-3階 あさくさばし耳鼻咽喉科,35.69784,139.78268
公益社団法人地域医療振興協会練馬光が丘病院,,179-0072,03-3979-3611,,1,1,,,,練馬区,13120,光が丘,2丁目11-1,,1,1,1,1,1,1,,9:00~12:00,12:00~17:00,9:00~12:00,12:00~17:00,9:00~12:00,12:00~17:00,9:00~12:00,12:00~17:00,9:00~12:00,12:00~17:00,9:00~12:00,,0:00~12:00,12:00~24:00,,,光が丘2丁目11-1,35.76218,139.62975
医療法人社団和漢会  福田医院,,193-0816,042-626-4664,,,1,,,,八王子市,13201,東京都八王子市大楽寺町,426-2,,,,,,,,,,5:00~6:00,,5:00~6:00,,5:00~6:00,11:00~12:00,,,5:00~6:00,11:00~12:00,,,,,,東京都八王子市大楽寺町426-2,35.64525,139.29233
医療法人社団東京白報会 ねりま在宅診療所,,176-0012,080-4804-7639,,,1,,,,練馬区,13120,豊玉北,5-14-6 ,新練馬ビル4F,,,,,,,,9:00~13:00,13:00~17:00,9:00~13:00,13:00~17:00,9:00~13:00,13:00~17:00,9:00~13:00,13:00~17:00,9:00~13:00,13:00~17:00,,,,,,,豊玉北5-14-6 新練馬ビル4F,35.73573,139.65532
杉並PARK在宅クリニック,,167-0042,03-5303-9636,,,1,,,,杉並区,13115,西荻北,"4-10-6トーアンツイン1F",,1,,1,1,,1,,,16:00~17:30,,,,16:00~17:30,,,,16:00~17:30,,,,,,,"西荻北4-10-6トーアンツイン1F",35.70781,139.59596
医療法人社団慈誠会 東武練馬中央病院,,175-0083,03-3934-1611,,,1,,,,板橋区,13119,徳丸,3丁目19番1号,,1,,1,1,,1,,10:00~12:00,3:00~5:00,10:00~12:00,3:00~5:00,10:00~12:00,3:00~5:00,10:00~12:00,3:00~5:00,10:00~12:00,3:00~5:00,10:00~12:00,,,,,,徳丸3丁目19番1号,35.77105,139.65897
医療法人社団はなまる会 千歳台はなクリニック,,157-0071,03-5490-7061,,,1,,,,世田谷区,13112,千歳台,5-22-1,,1,,,1,1,1,,,16:00~17:00,,16:00~17:00,,16:00~17:00,,16:00~17:00,,,,,,,,,千歳台5-22-1,35.65816,139.61165
救世軍ブース記念病院,,166-0012,03-3381-7236,,,1,,,,杉並区,13115,和田,1-40-5,,1,,1,1,1,1,,10:30~11:30,,10:30~11:30,,10:30~11:30,,10:30~11:30,,10:30~11:30,,,,,,,,和田1-40-5,35.69069,139.66029
森野クリニック,,105-0004,03-3591-2200,,,1,,1,,港区,13103,新橋,1-18-19キムラヤ大塚ビル７F,,1,,1,,1,1,,,18:00~19:00,,18:00~19:00,,,,18:00~19:00,,18:00~19:00,,,,,英語,,新橋1-18-19キムラヤ大塚ビル７F,35.66863,139.75584
"医療法人社団福仁会小松川病院",,132-0021,03-3655-5511,,,1,,,,江戸川区,13123,中央　,,1丁目1番地15号,1,,1,1,,1,,11:00~12:00,15:00~16:00,11:00~12:00,15:00~16:00,11:00~12:00,15:00~16:00,11:00~12:00,15:00~16:00,11:00~12:00,15:00~16:00,11:00~12:00,,,,,,中央　1丁目1番地15号,35.71217,139.87329
医療法人社団碧桐会 メディカルボックス東大和,,207-0013,042-526-9955,,,1,,1,,東大和市,13220,向原,2丁目１-１９,,1,1,,1,,1,,11:00~13:00,17:00~18:00,11:00~13:00,17:00~18:00,11:00~13:00,17:00~18:00,11:00~13:00,17:00~18:00,11:00~13:00,17:00~18:00,11:00~13:00,,,,,,向原2丁目１-１９,35.74236,139.43889
医療法人財団中山会 八王子消化器病院,,192-0903,042-626-5111,,,1,,,,八王子市,13201,万町,177番地の3,,1,,1,,1,,,,16:00~17:00,,16:00~17:00,,16:00~17:00,,16:00~17:00,,16:00~17:00,,,,,,,万町177番地の3,35.6512,139.33305
トータス往診クリニック,,201-0005,03-5761-2752,,,1,,,,狛江市,13219,岩戸南四丁目,22番地7号　,メゾン・サンライズ・アイ102,1,,1,1,,1,,,,,,,,,,,,,,,,,,岩戸南四丁目22番地7号　メゾン・サンライズ・アイ102,35.62541,139.59253
わだ内科クリニック,,176-0023,03-3825-7888,,1,1,1,,,練馬区,13120,中村北,4-4-12ラフォレスタ1F,,1,,1,1,,1,,8:30~11:30,,,,8:30~11:00,15:30~17:00,8:30~11:00,15:30~17:00,8:30~11:00,15:30~17:00,9:00~11:30,,,,日本語,,中村北4-4-12ラフォレスタ1F,35.73518,139.63826
日本医科大学呼吸ケアクリニック,,102-0074,03-5276-2325,,,1,,,,千代田区,13101,九段南,4-7-15JPR市ヶ谷ビル8階,,1,,1,1,,1,,11:00~12:00,12:00~13:00,11:00~12:00,12:00~13:00,11:00~12:00,12:00~13:00,11:00~12:00,12:00~13:00,11:00~12:00,12:00~13:00,,,,,,,九段南4-7-15JPR市ヶ谷ビル8階,35.69127,139.73885
東京蒲田医療センター,,144-0035,03-3738-8221,,,1,1,,,大田区,13111,南蒲田,2丁目19番2号,,1,,1,1,,1,,9:00~12:00,13:00~17:00,9:00~12:00,13:00~17:00,9:00~12:00,13:00~17:00,9:00~12:00,13:00~17:00,9:00~12:00,13:00~17:00,,,,,,,南蒲田2丁目19番2号,35.5544,139.72379
医療法人社団 桜心会 浅草ハートクリニック,,111-0033,03-6231-7581,,1,1,,,,台東区,13106,花川戸,1-13-15 ,SCRビル1階,1,,,,1,,,12:00~13:00,16:00~17:00,12:00~13:00,16:00~17:00,,,12:00~13:00,16:00~17:00,12:00~13:00,16:00~17:00,12:00~13:00,,12:00~13:00,,英語,,花川戸1-13-15 SCRビル1階,35.71346,139.79996
医療法人社団宏和会 たけもとクリニック,,207-0004,042-843-7157,,1,1,,,,東大和市,13220,清水,6-1257-3・1階,,1,,,,,1,,9:00~12:00,,9:00~12:00,,9:00~12:00,,,,9:00~12:00,,9:00~12:00,,9:00~12:00,,,,清水6-1257-3・1階,35.74607,139.44574
狛江市PCR検査センター /休日応急診療所,,201-0013,03-3488-9121,,,1,,,,狛江市,13219,元和泉,２-３５-１ ,あいとぴあセンター２階,,,,,,,,,,,,,,,,,,,,,13:00~16:00,,,元和泉２-３５-１ あいとぴあセンター２階,35.6334,139.56741
オビ内科クリニック,,135-0052,03-5665-6770,,1,1,,,,江東区,13108,潮見,２-１-１０メゾン・デ・ラ・ゼsanitize][ル1階,,,,1,,1,,1,11:00~12:00,6:00~7:00,11:00~12:00,5:00~6:00,,,11:00~12:00,6:00~7:00,11:00~12:00,5:00~6:00,11:00~12:00,,,,,,潮見２-１-１０メゾン・デ・ラ・ゼsanitize][ル1階,35.65988,139.81557
リバーシティクリニック東京,,104-0051,03-6219-7771,,,1,,,,中央区,13102,佃,2001/11/8,ピアウエストスクエア2F,,,1,,1,,,10:00~12:00,15:00~17:00,10:00~12:00,15:00~17:00,10:00~12:00,15:00~17:00,10:00~12:00,15:00~17:00,10:00~12:00,15:00~17:00,,,,,,,佃1-11-8 ピアウエストスクエア2F,35.6688,139.78659
医療法人社団爽玄会 碑文谷病院,,152-0013,03-3723-1515,,,1,,,,目黒区,13110,南,2002/9/3,,1,,1,,1,,,9:00~12:00,13:00~17:00,9:00~12:00,13:00~17:00,9:00~12:00,13:00~17:00,9:00~12:00,13:00~17:00,9:00~12:00,13:00~17:00,9:00~12:00,,,,,,南2-9-3,35.6145,139.68904
医療法人社団常泉クリニック,,144-0052,03-5711-6521,,,1,,,,大田区,13111,蒲田,5-40-3 ,月村ビル5階,1,,1,1,,1,,,15:00~16:30,,15:00~16:30,,,11:00~12:00,,,15:00~16:30,,,,,,,蒲田5-40-3 月村ビル5階,35.56087,139.71648
医療法人社団香潤会かおりレディースクリニック,,152-0004,03-5704-2856,,,1,,,1,目黒区,13110,鷹番,３-１１-８コート鷹番2階,,1,,,,,1,,,14:00~15:00,,14:00~15:00,,,,14:00~15:00,,14:00~15:00,,,,,英語,,鷹番３-１１-８コート鷹番2階,35.63027,139.68495
石森脳神経外科,,165-0027,03-3310-5041,,,1,,,,中野区,13114,野方,2005/10/15,,,,,,,,,,,,,,,11:00~12:00,,,,,,,,,,野方5-10-15,35.71464,139.65651
医療法人社団 知音会 こやま耳鼻咽喉科,,121-0813,03-3859-3341,,,1,1,1,,足立区,13121,竹の塚,５-１８-４,,1,,1,,1,,,11:00~12:00,0:00~1:00,11:00~12:00,0:00~1:00,11:00~12:00,0:00~1:00,11:00~12:00,0:00~1:00,11:00~12:00,0:00~1:00,11:00~12:00,0:00~1:00,,,,,竹の塚５-１８-４,35.79603,139.79536
藤井医院,,190-0003,042-536-1702,,,1,,,,立川市,13202,栄町,5-22-6,,1,,1,1,1,1,,9:00~11:30,15:00~17:30,9:00~11:30,15:00~17:30,,,9:00~11:30,15:00~17:30,9:00~11:30,15:00~17:30,9:00~12:00,,,,,,栄町5-22-6,35.71558,139.4276
吉田医院,,152-0003,03-3712-3396,,,1,,,,目黒区,13110,碑文谷,１-２８-１１,,1,,,1,1,1,,11:00~13:00,15:00~16:00,11:00~13:00,15:00~16:00,11:00~13:00,15:00~16:00,11:00~13:00,,11:00~13:00,15:00~16:00,11:00~13:00,,,,,,碑文谷１-２８-１１,35.6181,139.68867
あかねクリニック,,136-0072,03-5875-3208,,,1,1,,,江東区,13108,大島七丁目,３８番１５号,,1,,1,,1,1,,,,9:00~10:00,,11:00~12:00,16:00~17:00,,,,16:00~17:00,,,,,,,大島七丁目３８番１５号,35.69115,139.84224
"独立行政法人地域医療機能推進機構東京高輪病院",,108-8606,03-3443-9191,,1,1,1,,,港区,13103,高輪,2003/10/11,,1,,1,1,,,,0:00~12:00,12:00~24:00,0:00~12:00,12:00~24:00,0:00~12:00,12:00~24:00,0:00~12:00,12:00~24:00,0:00~12:00,12:00~24:00,0:00~12:00,12:00~24:00,0:00~12:00,12:00~24:00,,1,高輪３-１０-１１,35.6266,139.7345
香川クリニック,,121-0836,03-3855-1422,,,1,,,,足立区,13121,入谷,2006/1/1,,,,1,1,,,,9:00~13:00,15:00~18:00,9:00~13:00,15:00~18:00,9:00~13:00,,9:00~13:00,15:00~18:00,9:00~13:00,15:00~18:00,9:00~13:00,,,,,,入谷６-１-１,35.80377,139.76846
健生堂医院,,131-0045,03-3622-2297,,1,1,,,,墨田区,13107,押上,1-25-10,,1,,1,1,1,1,,9:00~12:00,12:00~17:00,9:00~12:00,12:00~17:00,9:00~12:00,12:00~17:00,9:00~12:00,12:00~17:00,9:00~12:00,12:00~17:00,9:00~12:00,,,,,,押上1-25-10,35.70967,139.81491
うえだこどもクリニック,,157-0072,03-5429-2155,,,1,,2,,世田谷区,13112,祖師谷,4-25-19,,,,1,1,,,,11:00~12:00,17:00~18:00,11:00~12:00,17:00~18:00,,,,,11:00~12:00,17:00~18:00,11:00~12:00,,,,,,祖師谷4-25-19,35.64982,139.60789
医療法人知真会 小茂根内科クリニック,,173-0037,03-5995-6610,,,1,,,,板橋区,13119,小茂根,2003/2/15,,1,,1,1,,,,12:00~14:00,,12:00~14:00,,,,12:00~14:00,,12:00~14:00,,,,,,なし,,小茂根3-2-15,35.75237,139.67633
松井内科クリニック,,153-0051,03-3715-6552,,,1,,1,1,目黒区,13110,上目黒,2002/9/24,,1,,1,,1,1,,10:30~12:00,15:00~17:30,10:30~12:00,15:00~17:30,,,10:30~12:00,15:00~17:30,10:30~12:00,15:00~17:30,10:30~12:30,,,,,,上目黒２-９-２４,35.64119,139.6969
医療法人社団洋正会　高野台いいづか耳鼻咽喉科,,177-0035,web予約,https://park.paa.jp/park2/clinics/2375,1,1,,1,1,練馬区,13120,南田中,2003/7/28,,1,,1,1,1,,,12:30~12:35,6:30~6:35,12:30~12:30,6:30~6:35,12:30~12:30,6:30~6:35,,,12:30~12:30,6:30~6:35,13:00~13:05,,,,なし,,南田中3-7-28,35.73137,139.61832
ハピコワクリニック五反田,,141-0022,03-3444-8158,,,1,,,,品川区,13109,東五反田,1-22-6五反田さくらビル5F,,,,,,,,,12:00~13:00,17:00~18:00,12:00~13:00,17:00~18:00,12:00~13:00,17:00~18:00,12:00~13:00,17:00~18:00,12:00~13:00,17:00~18:00,,,,,,,東五反田1-22-6五反田さくらビル5F,35.62593,139.72697
西東京めぐみクリニック,,188-0011,042-452-5948,,,1,1,,,西東京市,13229,田無町,2002/9/13, 丸嘉ビル 2階,,,1,1,,,,11:30~12:30,16:00~18:00,,,11:30~12:30,16:00~18:00,11:30~12:30,16:00~18:00,11:30~12:30,15:00~18:00,11:30~12:30,,,,なし,,田無町2-9-13  丸嘉ビル 2階,35.72835,139.54347
齋藤医院,,143-0025,03-3772-2791,,,1,,1,1,大田区,13111,南馬込,5-26-7,,1,,1,1,,1,,,14:00~17:00,,,,14:00~17:00,,,,14:00~17:00,9:00~12:00,,,,,,南馬込5-26-7,35.58656,139.70813
医療法人社団淳風会 渡内科胃腸科,,134-0088,03-5667-1653,,,1,1,,,江戸川区,13123,西葛西,2006/9/12,,1,,1,,1,1,,11:00~12:00,17:00~18:00,11:00~12:00,17:00~18:00,11:00~12:00,17:00~18:00,10:00~12:00,,11:00~12:00,17:00~18:00,10:00~12:00,,,,無し,,西葛西6-9-12,35.66837,139.8519
医療法人社団慎将会 上竹医院,,141-0022,03-3447-0703,,,1,,,,品川区,13109,東五反田,2-19-1ビレヂ五反田１階,,1,,1,1,,1,,11:00~12:00,17:00~18:00,11:00~12:00,17:00~18:00,11:00~12:00,,11:00~12:00,17:00~18:00,11:00~12:00,17:00~18:00,11:00~12:00,,,,,,東五反田2-19-1ビレヂ五反田１階,35.62499,139.72981
御茶ノ水ファミリークリニック,,113-0034,03-5844-1401,,1,1,,1,,文京区,13105,湯島,1-9-14-8F,,1,,1,1,1,1,,10:30~12:30,15:30~18:00,10:00~12:30,16:00~18:00,,,10:00~12:30,16:00~18:00,10:00~12:30,,9:30~12:30,,,,,,湯島1-9-14-8F,35.70202,139.76604
医療法人社団渡邊内科,,100-0004,03-3245-2800,https://www.drwatanabe.com,,1,,,,千代田区,13101,大手町,1-7-2東京サンケイビル地下1F,,,,,,,,,13:00~14:00,17:00~18:00,13:00~14:00,17:00~18:00,13:00~15:00,,13:00~14:00,17:00~18:00,13:00~15:00,,,,,,,,大手町1-7-2東京サンケイビル地下1F,35.68707,139.76505
さくまクリニック,,162-0045,03-5292-0345,,,1,,,,新宿区,13104,馬場下町,67三朝庵ビル4F,,1,,,1,,1,,,14:00~15:00,,,,14:00~15:00,,,,14:00~15:00,,,,,,,馬場下町67三朝庵ビル4F,35.70612,139.71965
たかはし耳鼻咽喉科,,144-0047,03-5736-4187,,1,1,,,,大田区,13111,萩中,1-7-10エストレラH１F,,1,,1,1,1,1,,12:00~13:00,17:00~18:00,,17:00~18:00,12:00~13:00,17:00~18:00,,,12:00~13:00,17:00~18:00,11:00~12:00,,,,,,萩中1-7-10エストレラH１F,35.55061,139.72891
神保クリニック小児科,,201-0003,03-3430-2818,,,1,,2,,狛江市,13219,和泉本町,2001/2/13,,1,,1,1,1,1,,9:30~11:00,,9:30~11:00,,9:30~11:00,,9:30~11:00,,9:30~11:00,,9:30~11:00,,,,,,和泉本町１-２-１３,35.64128,139.57846
中里医院,,167-0043,03-3390-5258,,,1,,,,杉並区,13115,上荻,2004/2/3,,1,,1,1,,,,11:00~12:00,4:00~5:00,11:00~12:00,4:00~5:00,11:00~12:00,4:00~5:00,,,11:00~12:00,4:00~5:00,11:00~12:00,,,,,,上荻4-2-3,35.70602,139.61713
池袋2丁目医院,,171-0014,03-3981-9505,,,1,,,,豊島区,13116,池袋,2-53-8 ,秋島ビル3階,,,1,1,,,,13:00~14:00,18:00~19:00,,,13:00~14:00,19:00~20:00,,,13:00~14:00,18:00~19:00,,,,,,,池袋2-53-8 秋島ビル3階,35.73404,139.70908
おかのクリニック,,123-0841,03-3898-4983,,,1,,,,足立区,13121,西新井,2001/11/4,,,,,,,,,11:00~13:00,17:00~18:00,11:00~13:00,17:00~18:00,11:00~13:00,17:00~18:00,11:00~13:00,17:00~18:00,11:00~13:00,17:00~18:00,11:00~13:00,,,,,,西新井1-11-4,35.78031,139.78102
医療法人社団鴎盟会 津布久医院,,103-0016,03-3666-1687,,,1,,,,中央区,13102,日本橋小網町,3番12号 ,1階、2階,1,,1,1,,,,,15:00~17:00,,15:00~17:00,,15:00~17:00,,,,15:00~17:00,11:00~12:00,12:00~13:00,,,,,日本橋小網町3番12号 1階、2階,35.68092,139.78293
医療法人社団片根会 片根医院,,124-0012,03-3691-0056,,,1,,,,葛飾区,13122,立石,2008/3/4,,,,1,1,,,,8:00~9:00,0:00~,,,8:00~9:00,0:00~,8:00~9:00,0:00~,,3:00~4:00,8:00~9:00,0:00~,,,無し,,立石8-3-4,35.74042,139.85042
